 approach_a , approach_b 
498612.5721,4337132.217
711927.5103,0
1846419.745,9918244.98
1335699.999,6484903.416
626908.7966,0
0,0
979858.8142,0
892785.8889,1232647.425
158926.594,0
550657.6442,0
1247525.849,6625237.425
1837240.836,3137015.666
1730249.536,8034867.681
762940.2669,5647871.164
0,0
0,0
312671.8735,0
1020657.713,0
695652.0325,0
609725.5035,0
365163.0557,0
421894.4588,0
561680.3005,0
1822392.045,8328308.318
1388365.545,0
112416.3601,0
1308439.408,0
303674.7529,0
292181.7349,0
56190.50609,0
0,0
329205.6641,0
430641.7139,4446228.4
296056.9083,0
533395.4651,0
409780.826,0
330506.8446,0
455522.9203,7830815.328
143660.3529,0
1216951.219,0
173191.3544,0
466173.5085,14863227.42
429765.6919,0
219182.8965,5507426.419
901326.2435,0
407229.2571,0
456064.8617,0
574800.2235,0
234865.0415,0
0,0
504505.8722,7118941.338
191806.6735,8021279.168
404804.6424,0
448618.5118,0
1684261.063,0
0,0
1327861.654,0
56907.69934,0
0,0
0,0
1137433.915,0
1011691.136,0
577280.0613,0
0,0
773376.6436,5660399.428
397920.8263,0
161667.4876,0
299111.7019,3799980.846
0,0
420747.5973,0
238191.9815,0
169975.9603,0
0,3668026.465
435207.0939,0
440533.4775,0
1045324.378,0
444484.2636,4327319.239
744337.9192,0
745444.9418,0
0,12816564.79
872678.4245,0
2140932.55,0
67362.07054,2815299.693
412867.971,0
0,0
231228.8931,5682414.953
1327482.191,0
0,0
391501.1214,0
105386.3121,5972712.824
315054.9614,0
911679.8049,10399805.18
244080.7845,0
202092.562,1454489.71
210251.2303,0
770696.4106,0
488458.9959,0
813738.2667,7935273.189
226411.6609,0
1148434.198,0
2041266.772,1961106.083
0,0
663626.8112,14312808.24
310928.9683,2007320.151
2463793.567,5351036.055
1151336.331,0
540761.8756,6223942.418
1219883.803,5771893.411
654822.9432,4188530.186
285409.0529,0
155811.3545,0
1317355.672,0
378069.9215,0
904441.4934,0
498102.2127,0
1779815.05,0
0,0
59437.47584,0
0,0
424389.5401,0
1014746.796,0
406259.17,0
333236.5371,0
635031.7747,0
472249.939,0
1594962.822,0
307466.9454,7253243.712
1154186.441,0
1553978.442,0
1078888.199,0
807866.1617,0
912664.7529,0
1511872.257,6495563.683
619466.7179,0
973496.5031,0
1460271.487,0
705624.146,0
0,0
548296.1799,0
0,0
665800.0451,0
799205.3061,0
1275559.317,0
1328773.022,0
763892.8019,0
606002.7343,0
197798.8896,0
0,10824152.1
45910.00076,0
2011139.106,11409920.84
138786.3123,0
513953.2744,0
676003.6764,0
0,3099602.03
406215.8241,0
467560.6121,0
188509.6851,0
741537.8488,0
1251136.018,0
658464.4177,0
472086.9187,0
565404.5339,6527426.199
192942.2778,0
1432203.81,2824461.755
408124.722,7203688.239
530419.5863,0
46891.02845,0
435859.6599,0
388373.5984,4313582.351
482326.3676,0
356546.863,0
218348.2439,6944009.964
0,0
444833.2501,0
442474.5989,0
1260399.701,0
154942.592,0
519586.1335,0
346933.3996,0
273201.2956,4097822.88
663976.6366,0
610799.5669,6354504.993
1224778.729,0
1661263.933,0
1938326.47,0
232700.7683,0
1149044.552,4948286.849
882284.3658,0
0,3711374.267
428150.8028,0
605101.5707,0
0,0
92159.47653,0
646128.9026,6013526.666
849542.353,0
248845.5377,0
2088283.579,0
1029376.46,0
310854.4715,4354439.97
383902.9007,0
